Comment	Sentiment
Honest doctor very knowledgeable	2
Excellent 	2
Have been a patient of Dr Schwarz for 2 years and have never been disappointed with her bedside manner. She is extremely thorough and efficient. Dr. Schwarz takes as much time as needed to listen to all of your concerns. She is easy to talk to and is genuinely interested in what you have to say. I would definitely recommend her to everyone.	2
Doctor Schwarz is a wonderful physician! She is very caring ,understanding and very knowledgeable about family medicine. If there’s emergency and you leave her a message she’ll give you a call back and she is very very concerned about the reason for your call. Overall,if you care about your health and you want to physican that cares about you , you should definitely become a patient.	2
She takes the time to listen.	1
She has your back and REALLLLLY cares!  I finally found my forever Primary Care Physician!	2
A very compassionate doctor. Staff and office help are also very friendly and helpful.  She treats patients with concern as if you were a friend or family member	2
I never in my life have had such a great experience. I actually enjoy going to the doctor! Dr. Schwarz is so understanding and wants to narrow everything down with thorough testing. Her and her staff are great!	2
Like a being with a remarkably intelligent and capable friend	2
I'm very happy with Dr. Schwarz...didn't wait long for her....Dr Schwarz took her time with me very compassionate seemed to really care.  Love the Essex  Street office, easy to get too... easy parking everyone seemed friendly...Can make appointments online... I'll be back	2
"I had the same PCP for at 15 years, when my doctor moved to a different State,, I had no choice but to change my PCP. I searched for months to find a doctor that accepts my insurance and of course well recommended. Someone told me about Dr. Schwarz, 
Little did I know I picked the right doctor, after I made my first appointment I was more than a 100% satisfied, so I made an appointment for my oldest child and my husband. Waiting time always exist no matter where you go, so that doesn’t bother me"	2
The Best doctor and the VERY BEST human being that I have ever seen, My family is being bless to have her as our doctor !!!	2
Great bedside manner 	2
She disregarded me when I arrived for an appointment, canceled it on the spot without even seeing me first, claiming she couldn't help me with my condition, that i needed to be seen by another doctor. when all i needed was a script for some antibiotics and some advice and guidance. After years of being my PCP it was disappointing to be treated this way. 	0
best doctor to have ! i love her shes such a sweetheart, and caring and knowledgeable and is great !  shes knows me well she knows how much i love grahm crackers but her lol	2
Dr. schwarz is so awesome. We have been recommending her to all of our family and friends. She takes the time and listens very well and is very knowledgeable. 	2
Dr Schwarz is very thorough and knowledgeable. She has a very calming presence and wonderful bedside manner. 	2
"Experience was great. Taken in on time. Doctor listens to your needs and being my first time there, the staff was very polite and helpful.	"	2
"Was very satisfied with the in-office test procedure that was performed and the discussion of the results with Dr. Ali Husain.	"	2
Great physician.  Spends time with his patients and has excellent bedside manner.  Highly recommend!	2
Every visit is great.	2
Excellent Service..... Doctor & staff were very kind.	2
"Great Dr.	"	2
The doctor is very caring and is committed to making me feel better	2
very professional i've been going to this office for over 7 years.	2
Saw Dr. Ali, he was great in listening to the problem and trying to identify the reasons. Friendly office staff, I would definitely recommend to everyone I know.	2
"Great doctor, listened to what I had to say, polite and courteous.	"	2
"Very friendly staff excellent doctor	"	2
"I felt valued as a patient rather than focus on billing matters	"	2
"My experience is that I received a very professional treatment	"	2
Excellent doctor very thoughtful and thoughrow and staff very polite and helpful,made my wife and I feel like we are part of his family,I trust him completely	2
Good comunication.. very professional manner	2
He is an amazing Dr. He took time to explain things to me. He listened to me. Even though he was just covering for my Dr I felt like he really cared I wasn't just a number to him.	2
He was very easy to understand and with explaining my treatment it was a very good experiance I look forward to having him treat me..	2
A very good treatment and very professional doctor.	2
Answered all my questions and was very knowledgeable.	2
One of the best things about this practice is I feel very comfortable. Every questions I had was answered with patience, and attention to detail. I was treated with dignity and respect, and all my concerns were addressed. The staff is friendly, and open. I would not hesitate to recommend this practice to anyone.	2
Doctor and staff both very nice. From reception to doctor room everyone is very cooperative. Wait time was reasonable. Facility is clear and organized.	2
Dr Ali was extremely nice. I really liked him and felt very comfortable with our first meeting together.	2
I have always been provided with nothing less than excellent service at Dr Husain.	2
Dr. Ali really surprise me. He Is excellent. He explain everything I need to know about my problem and he absolutely didn’t rush my visit. At the end he ask me if I have any question or concerns so he can explain again for me. He toke his time to ask  all my problem and the staff very helpful. Thanks DR. ALI.	2
First time with Dr Ali H. Very good experience. He is as thorough as his father.	2
Oh what a nice Dr. He speak very clear and he is very nice. I would recommend 100%.	2
Dr. Husain was very professional and showed great care to help me feel better. His office was run efficient with little to no wait time which is a huge plus. Would highly recommend.	2
I am happy with the service Dr Ali Husain offers to me, is really very nice place to receive medical attention	2
Dr. Ali Husain is a very good doctor. This is the third time that I've seen him. He is handling my disease and condition great. I would recommend him to anyone.	2
Outstanding Dr. Very thorough and listen from the patient Very satisfied	2
Very good. Im very comfortable with Dr Ali Husain.	2
Both the doctor and the staff are extremely professional, caring and go above and beyond to help you understand both the diagnosis and treatment. Excellent!	2
"Dr. Husain is patient, kind, empathetic, and above all a good listener. Dr. Husain takes the time to listen to your concerns. So far pleased with my experience and would highly recommend Dr. Husain	"	2
"Dr. Hussain was very professional. He spent a lot of time with me discussing my care. He is very caring and I am happy to have found him as my primary care physician!	"	2
It has always been very difficult for me to find a PCP I actually trus and feel comfortable with.She was so kind and understanding and extremely thorough. I could not be happier. The staff in the office were also very kind and understanding as I am terrified of needles. It was a wonderful experience. THANK YOU	2
Dr.Uliano is absolutely the best doctor I’ve seen to date. I can start by saying I don’t usually visit primary doctors unless absolutely needed (which was the case this time) because I feel Most doctors do a half way job when going for a physical or any health concern. Dr.Uliano was extremely thorough, I mean she checked things on me I didn’t know existed. She’s extremely knowledgeable with exquisite bedside manner. She leaves with a sense of trust in her and I’ll  never visit another doctor! 	2
i was extremely impressed and happy I came here. The front desk was happy and helpful. I was nervous because i feel most Doctors don't take them time but Dr. Uliano and her staff did. They asked questions and gave me the things I needed to get to the next step. 	2
Very kind and thorough 	2
Seeing Dr. Uliano was a pleasure. She is a caring and intelligent doctor.  The whole office staff was amazing as well.	2
Came here for the first time after I found her on ZocDoc. The staff was very caring and on top of their things. They were respectful and knew wha they were doing. When I came I got seen right away. The doctor her self is very caring and actually understands everytbing you’re not trying to say. It felt like family. I really recommend this doctor to anyone who is looking for one. 	2
She was very kind. Put me at ease and told me what would take care of my issue. Glad to found my new pcp. 	2
Easy to talk to, spends time with you, conscientious, and asks probing questions to determine the cause of your illness.   	2
I needed a new primary care doctor and recently visited Dr. Uliano for an annual physical. She is very nice and took her time with me during my appointment - very thorough! So happy I finally found a doctor I feel comfortable with!	2
This has been one of the best and most informative  doctors visits that i have ever been to. After endless doctors and almost losing hope, i would have to say my faith is restored. She took the time to listen and knew what to do. Thank you very much!!!!!	2
The most thorough exam, including a breast exam. I highly recommend Dr. Uliano 	2
I went into Dr. Uliano's office thinking I hurt my calf working out.  I am a 50 year old male in good shape and thought it was some type of ligament or muscle problem in my lower leg.  Dr. Uliano said he wanted to rule out a DVT (blood clot) and sent me for a sonogram.  This was done on a Saturday and she sent me to a testing lab that took me right away.  To my surprise, they diagnosed a blood clot.  I had to go to the ER and was treated.  Her diagnosis helped me avoid a serious problem. 	1
Glad I found my PCP! She was very thorough and listened to all of my concerns. I will definitely be recommending her to my family and friends. 	2
Haven sent!!!! Dr. Uliano is a well experienced, competent, beyond carrying, thorough, brilliant Doctor, I cant find enough good words to describe how amazing she is. She is a primary care Dr. that all Dr. should be like. From making follow-up phone calls even when she's not at the office to see if you are okay. To making the appointments for you to whom ever she refer you to. even the specialist that she suggested are wonderful Doctors. Don't even question it just book the appointment!!!!	2
